Title,Country,Year,Genre,Director,Starring,Poster URL
Army of Darkness,Hong Kong,1988,martial arts,,"Liu Dong, Fang Shu, Kong Ngai ",https://en.hkcinema.ru/foto/9d395c2c.jpg
13 Golden Nuns,Taiwan,1977,martial arts,Chang Mei-Chun ,"Pai Ying, Han Hsiang-Chin, Liang Hsiu-Shen, Cheung Yu-Yuk, Lam Dai, Goo Chang, Lee Ying ",https://en.hkcinema.ru/foto/d1f98117.jpg
"Infernal Gate, The (Part 2)",Hong Kong,1966,martial arts,Siu Sang ,"Josephine Siao Fong-Fong, Connie Chan Po-Chu, Lee Hung, Sek Kin, Lee Heung-Kam, Tang Ti, Lau Ching, Yam Bing-Yee, Lin Jing ",https://en.hkcinema.ru/foto/1bc1fb13.jpg
Shaolin Gang,Taiwan,2004,martial arts,Wong Biu-Man ,"Ashton Chen, Xing Yu, Xie Miao, Faan Man-Git, Siu Lung-Lui ",https://en.hkcinema.ru/foto/a8616f39.jpg
Crazy Swordsman,Taiwan,1968,martial arts,Law Chi ,"Ting Ying, Wu Chia-Chi, Tsui Fu-Sheng, Got Siu-Bo, Wu Heng, Chow Siu-Hing, Wu Hsiao-Hui, Lan Pai, Wong Tak-Ling, Tung Te-Ling, Feng Mei-Li ",https://en.hkcinema.ru/foto/7e8e00a5.jpg
Bat Without Wings,Hong Kong,1980,martial arts,Chor Yuen ,"Derek Yee Tung-Sing, Ching Li, Wong Yung, Ku Kuan-Chung, Ku Feng, Tang Ching, Au-Yeung Pui-San, Alan Chan Kwok-Kuen, Wong Chi-Ming ",https://en.hkcinema.ru/foto/b9a993c2.jpg
"Crazy Horse, Intelligent Monkey",Hong Kong,1982,martial arts,"Tony Liu Chun-Ku, Chan Hei ","Hon Kwok-Choi, Chi Kuan-Chun, Kwan Hoi-San, Chu Tit-Wo, Wong Chi-Ming, Kong Chuen, Candy Wen Xue-Er, Stephan Yip Tin-Hang, Fung Ming ",https://en.hkcinema.ru/foto/35a38136.jpg
The Fearless Golden Dragon,Taiwan,1974,martial arts,"Yang Wen-Kan, Ku Hsi ","Cheung Chaan-Ting, Nancy Yen Nan-See, So Fung-Gat, Lee Git-Yue, Wei Su, Chu Siu-Wa, Yu Chung-Chiu, Ma Cheung, Cho Boot-Lam, Blacky Ko Sau-Leung ",https://en.hkcinema.ru/foto/nofoto.gif
Priceless Sword (Part 2),Hong Kong,1965,martial arts,Ling Yun ,"Walter Tso Tat-Wah, Yu So-Chau, Tam Sin-Hung, Lam Kau, Chan Wan-Wa, Lau Hak-Suen, Lee Pang-Fei, Lok Gung, Cheung Sang, Siu Chung-Kwan ",https://en.hkcinema.ru/foto/nofoto.gif
The Battle Between Ne Zha and the Scarlet Boy,Hong Kong,1950,"martial arts, fantasy","Leong Sum, Yip Yat-Sing, Kwong Kwong ","Lam Mui-Mui, Yu Kai, Yip Wan-Ha, Lee Pang-Fei, Sze Pak-Yeuk, Cheung Sang, Wong Kun-Lun, Luk Chung-Hap, Leung Yeuk-Ngoi, Tin Kei-Fong ",https://en.hkcinema.ru/foto/nofoto.gif
Prodigal Boxer,Taiwan,1972,martial arts,Ulysses Au-Yeung Jun ,"Mang Fei, Maggie Li Lin-Lin, Shut Ma Wah-Lung, Kurata Yasuaki, Alan Chan Kwok-Kuen, Yuen Shun-Yi, Brandy Yuen Jan-Yeung, Wynn Lau Chun-Fai ",https://en.hkcinema.ru/foto/14d3f67b.jpg
Single Fighter,Taiwan,1974,martial arts,Lee King-Chuen ,"Kwan Hung, Chang Chi-Ping, Yeung Lee-Gwan, Lee Ying, Ng Tung-Kiu, Chi Fu-Chiang, Yu Chung-Chiu, Lam Kau, Chin Wan-Che, Woo Yin ",https://en.hkcinema.ru/foto/56251380d6380.jpg
The Swift Knight,Hong Kong,1971,martial arts,Jeng Cheong-Woh ,"Lo Lieh, Margaret Hsing Hui, Chin Han, Wang Hsieh, Fang Mian, Chai No, Tung Lam, Huang Chung-Hsin, Fan Mei-Sheng, Yip Bo-Kam, Shum Lo ",https://en.hkcinema.ru/foto/fac3eb5d.jpg
The Great Conspiracy,Taiwan,1980,martial arts,Pao Hsueh-Li ,"Nora Miao Ke-Hsiu, Shih Szu, Ko Keung, Tien Peng, Dorian Tan Tao-Liang, Han Yu, Tsai Hung, Wang Lai, Chin Feng, Wang Hsieh, Kam Kong ",https://en.hkcinema.ru/foto/5cf9665c.jpg
The Great Hunter,Taiwan,1975,martial arts,Larry Tu Chong-Hsun ,"Jimmy Wang Yu, Hsu Feng, Chia Ling, Chang Yu, Chen Hung-Lieh, Hsieh Han, Sun Yueh, Chiu Ting, Cliff Ching Ching, Hung Fa-Long, Yan Chung-Shing ",https://en.hkcinema.ru/foto/d972d32b.jpg
The Great Highwayman,Hong Kong,1970,martial arts,Law Chi ,"Tam Yi-Lee, Chu Mu, Wendy Chun Wan, Chung Yau, Got Tin, Cheung Ban, Leung Yui, Chai Lin-Fui, Lau Kong, Chui Dai-Chuen, Kam Shan ",https://en.hkcinema.ru/foto/b013447d.jpg
Magnificent Bodyguards,Hong Kong,1978,martial arts,Lo Wei ,"Jackie Chan, Bruce Leung Siu-Lung, Wang Ping, James Tin Chuen, Wong Gwan, Ko Keung, Lee Man-Tai, Lui Wan-Biu, Chui Yuen, Liu Ming ",https://en.hkcinema.ru/foto/ece564b1.jpg
Returned Single-Legged Man,South Korea,1974,martial arts,Lee Doo-Yong ,"Charles Han Yong-Cheol, Kwan Yung-Moon, Jeong Ae-Jeong, Lee So-Yeong, Kim Mun-Ju, Bae Su-Cheon, Kim Wang-Kuk, Park Dong-Yong, Chiu Chun ",https://en.hkcinema.ru/foto/4bc69ace.jpg
Magic Sword,Taiwan,1993,"martial arts, drama, historical, fantasy",Ting Shan-Hsi ,"Gam Siu-Mooi, Tou Chung-Hua, Emily Chu Bo-Yee, Liu Chun, Doris Kuang Ming-Chieh, Lee Chih-Chi, Don Wong Tao, Wong Kuen, Chang Fu-Chien ",https://en.hkcinema.ru/foto/5143f064.jpg
Wong Fei-Hung's Battle at Shuangmendi,Hong Kong,1956,martial arts,Wu Pang ,"Kwan Tak-Hing, Walter Tso Tat-Wah, Yam Yin, Sek Kin, Wong Siu-Ang, Ding Yue, Lam Sing-Fan, Liu Chia-Liang, Sai Gwa-Pau, Siu Lo-Fu, Siu Hon-Sang ",https://en.hkcinema.ru/foto/2ea740e2.jpg
Wong Fei-Hung's Three Battles with the Unruly Girl,Hong Kong,1957,"martial arts, musical",Wu Pang ,"Kwan Tak-Hing, Tang Pik-Wan, Lau Cham, Leung Miu-Seung, Sek Kin, Au-Yeung Kim, Sai Gwa-Pau, Siu Hon-Sang ",https://en.hkcinema.ru/foto/nofoto.gif
Gate of Destiny,South Korea,1974,martial arts,Lee Doo-Yong ,"Charles Han Yong-Cheol, Woo Yeon-Jeong, Bae Su-Cheon, Bruce Cheung Mong, Kim Mun-Ju, Kim Hong-Ji, Kim Yeong-Ran, Choe Jae-Ho, Jo Deok-Seong ",https://en.hkcinema.ru/foto/b484bb7f.jpg
