title,country,poster,release_year,genre,director,starring
"Infernal Gate, The (Part 1)",Hong Kong,https://en.hkcinema.ru/foto/592e59ca.jpg,1966,martial arts,Siu Sang ,"Josephine Siao Fong-Fong, Connie Chan Po-Chu, Lee Hung, Sek Kin, Lee Heung-Kam, Yung Yuk-Yi, Yam Bing-Yee, Lau Ching, Siu Chung-Kwan "
"Infernal Gate, The (Part 2)",Hong Kong,https://en.hkcinema.ru/foto/1bc1fb13.jpg,1966,martial arts,Siu Sang ,"Josephine Siao Fong-Fong, Connie Chan Po-Chu, Lee Hung, Sek Kin, Lee Heung-Kam, Tang Ti, Lau Ching, Yam Bing-Yee, Lin Jing "
The Dragon and the Tiger Kids,Hong Kong,https://en.hkcinema.ru/foto/61038230.jpg,1979,martial arts,"Tony Liu Chun-Ku, Tony Wong Yuk-Long ","Meng Yuen-Man, Mang Hoi, Hwang Jang-Lee, Jason Pai Piao, Lau Hok-Nin, Yip Fei-Yang, Kwan Yung-Moon, Wang Han-Chen, Hsu Hsia, Tai San "
Crimson Girl,Hong Kong,https://en.hkcinema.ru/foto/03e358c5.jpg,1961,martial arts,Wong Hok-Sing ,"Sun-Ma Sze-Tsang, Yu Lai-Zhen, Poon Yat-On, Lee Heung-Kam, Lau Hak-Suen, Connie Chan Po-Chu, Yuen Lap-Cheung, Ling Mung, Cheung Sing-Fei "
The Crimson Palm,Hong Kong,https://en.hkcinema.ru/foto/36e7224c.jpg,1964,martial arts,Chen Yu-Hsin ,"Ivy Ling Po, Chin Ping, Li Ching, Ching Miao, Tang Ti, Yiu Kwang-Chao, Chiang Kuang-Chao, Tien Feng, Chen Yan-Yan, Yip Ching "
The Scarlet Hero,Hong Kong,https://en.hkcinema.ru/foto/8b7a5ced.jpg,1951,martial arts,Yeung Kung-Leung ,"Yu So-Chau, Wong Hok-Sing, Lam Mui-Mui, Sek Yin-Tsi, Koo Tin-Ng, Lam Kar-Yee, Lau Kwai-Hong, Ling Mung, Sek Kin "
The Unity Of Heroes,China,https://en.hkcinema.ru/foto/5bc5a1eb250a8.jpg,2018,"martial arts, action, drama, comedy, historical",Lin Zhen-Zhao ,"Vincent Zhao Wen-Zhuo, Michael Tong Man-Lung, Wei Ni, Xu Zheng-Guo, Li Bing-Yuan, Wei Xiao-Huan, Li Bu-Bing, Chen Chen, Dan Ni-Si "
Unity of Heroes 2,China,https://en.hkcinema.ru/foto/5c3430274ea21.jpg,2018,"historical, martial arts",Marco Mak Chi-Sin ,"Vincent Zhao Wen-Zhuo, Miya Mu-Qi, Li Bu-Bing, Wei Ni, Wei Xiao-Huan, Chen Chen, Gao Xuan-Ming, Sawada Kenya, Sang Wei-Lin, Zhang Ya-Kun "
The Jade Hairpin Alliance,Taiwan,https://en.hkcinema.ru/foto/280ce499.jpg,1980,martial arts,Tang Chen-Dah ,"Lau Wing, Nau Nau, Pai Ying, Chan Sing, Chiang Ching-Hsia, Li Wan-Chun, Lee Ying, Wan Shan, Wan Chung-Shan, Han Ying-Chieh "
Blue Butterfly the Amazon,South Korea,https://en.hkcinema.ru/foto/nofoto.gif,1983,martial arts,Choe U-Hyeong ,"Lee Joi-Wing, Jin Nu-Ri, Martin Chui Man-Kwai, Mike Wong Lung, Yoon Il-Ju, Kim Wuk, Jang Cheol, Kim Ki-Hong, Kim Won-cheol, Park Wan-Su "
Ambitious Kung Fu Girl,Hong Kong,https://en.hkcinema.ru/foto/f910b138.jpg,1981,"martial arts, comedy",Tony Liu Chun-Ku ,"Michelle Yim, Yuen Tak, Chen Kuan-Tai, Lam Sau-Kwan, Choh Seung-Wan, Wong Mei-Mei, Chu Tit-Wo, Austin Wai Tin-Chi, Ching Miao "
American Shaolin,USA,https://en.hkcinema.ru/foto/4f03385e.jpg,1991,"action, martial arts",Lucas Lowe ,"Reese Madigan, Daniel Dae Kim, Billy Chang, Cliff Lenderman, Henry O., Michael Depasquale Jr., Trent Bushey, Kong Miu-Deng, Kwan Yung "
Twin Charms,Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1963,martial arts,Chow Sze-Luk ,"Chuang Shueh-Chuang, Fang Chiao-Yu, Ting Chor-Kiow, Lam Jing-Yee, Chen Li-Juan, Chen Wen-Chang, Qiu Li-Qing, Zheng Chun-Ying, Chan To "
Angel of the Wilderness,Hong Kong,https://en.hkcinema.ru/foto/d49477c1.jpg,1962,martial arts,Yan Jun ,"Li Li-Hua, Chao Lei "
Angel the Kickboxer,Hong Kong,https://en.hkcinema.ru/foto/bf2c356e.jpg,1993,martial arts,Godfrey Ho Jeung-Keung ,"Waise Lee Chi-Hung, Pauline Chan Bo-Lin, Oshima Yukari, Karel Wong Chi-Yeung, Wong Wan-Choi, Lam Chung, Robert Mak Tak-Law, Chiang Tao "
Anna in Kungfu-land,Hong Kong,https://en.hkcinema.ru/foto/590040ae.jpg,2003,"martial arts, comedy",Raymond Yip Wai-Man ,"Miriam Yeung Chin-Wah, Ekin Cheng Yee-Kin, Wong Yau-Nam, Denise Ho Wan-Si, Lau Kar-Wing, Lee Lik-Chi, Tats Lau Yi-Tat, Charles Ingram "
Seven Man Army,Hong Kong,https://en.hkcinema.ru/foto/43a380bb.jpg,1976,martial arts,"Wu Ma, Hsiung Ting-Wu, Chang Cheh ","Alexander Fu Sheng, David Chiang Da-Wei, Ti Lung, Chi Kuan-Chun, Chen Kuan-Tai, Gordon Liu Chia-Hui, Johnny Wang Lung-Wei, Li Yi-Min "
Army of Darkness,Hong Kong,https://en.hkcinema.ru/foto/9d395c2c.jpg,1988,martial arts,,"Liu Dong, Fang Shu, Kong Ngai "
Arhats in Fury,China,https://en.hkcinema.ru/foto/3093595e.jpg,1985,martial arts,Wong Sing-Loy ,"Lau Jan-Ling, Go Hung-Ping, Lee Tak-Shing, Hoh Fook-Sang, Wong Leung, Wong Hoi-Sang, Wong Chi-Wah, Li Li, Lok Woon-Yau, Liu Xiu-Ping "
Spiritual Kung Fu,Hong Kong,https://en.hkcinema.ru/foto/d23e8bee.jpg,1978,martial arts,Lo Wei ,"Jackie Chan, James Tin Chuen, Dean Shek Tin, Lee Kwan, Li Tong-Chun, Mo Man-Sau, Wang Kuang-Yu, Wong Ching, Wong Yiu "
Butterfly Sword,Hong Kong,https://en.hkcinema.ru/foto/e27a917b.jpg,1993,martial arts,Michael Mak Dong-Git ,"Tony Leung Chiu-Wai, Joey Wong Cho-Yin, Donnie Yen Ji-Dan, Michelle Yeoh, Tou Chung-Hua, Elvis Tsui Kam-Kong, Wong Chung-Kui, Wong Yiu "
Butterfly Lovers,Hong Kong,https://en.hkcinema.ru/foto/6e172a4f.jpg,2008,"martial arts, romance",Jingle Ma Choh-Shing ,"Charlene Choi Cheuk-Yin, Wu Chun, Hu Ge, Shao Bing, Bonnie Sin Sik-Lai, Wan Qian, Wei Yi-Bo, Jerry Yuan Cheng-Jie, Fan Siu-Wong, Xiong Xin-Xin "
The Butterfly Murders,Hong Kong,https://en.hkcinema.ru/foto/66e28122.jpg,1979,martial arts,Tsui Hark ,"Lau Siu-Ming, Michelle Yim, JoJo Chan Kei-Kei, Chang Kuo-Chu, Wong Shu-Tong, Ha Kwong-Li, Tsui Siu-Ling, Eddy Ko Hung, Tino Wong Cheung "
Huo Shao Yun Zhi Bo Luo Bao,China,https://en.hkcinema.ru/foto/5bea660d2f028.jpg,2018,"mystery, martial arts",Hong Qi ,"Wang Jun-Hao, Li Zheng-Quan, Liu Zhi-Mei, Li Hong-Ru, Mu Jian-Rong, Sun Yuan-Ning, Li Zhen, Li Xuan-Ting, Su Xiao-Hua, Zhou Jia-Ming "
Shaolin Gang,Taiwan,https://en.hkcinema.ru/foto/a8616f39.jpg,2004,martial arts,Wong Biu-Man ,"Ashton Chen, Xing Yu, Xie Miao, Faan Man-Git, Siu Lung-Lui "
The Rascal He on Fire,Hong Kong,https://en.hkcinema.ru/foto/6de5b200.jpg,1959,martial arts,Wu Pang ,"Kwan Tak-Hing, Walter Tso Tat-Wah, Sek Kin, Yam Yin, Yam Tai-Goon, Gam Lau, Ng Yan-Chi, Chow Chung, Wong Hak, Lai Man "
The Bandits,Hong Kong,https://en.hkcinema.ru/foto/420ce132.jpg,1971,"action, martial arts",Shin Sang-Ok ,"Angela Yu Chien, Shin Young-Kyun, Wang Hsieh "
Bandits of Shandong Province,Hong Kong,https://en.hkcinema.ru/foto/e385d34c.jpg,1955,"martial arts, musical",Wong Hok-Sing ,"Sun-Ma Sze-Tsang, Lam Kau, Lee Pang-Fei, Lee Hoi-Chuen, Mui Yee, Choi Zhen-Chu, Pak Lung-Chu, Ho Siu-Hung "
Bandits from Shantung,Hong Kong,https://en.hkcinema.ru/foto/458aeae0.jpg,1972,martial arts,Wong Fung ,"Chang Yu, Woo Gam, Pai Ying, Sammo Hung Kam-Bo, Chin Yuet-Sang, Tin Mat, Yee Yuen, Chow Kong, Wilson Tong Wai-Shing, Cham Siu-Hung "
Bandits of the Water Margin,Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1950,martial arts,Law Chi-Hung ,"Fung Fung, Yip Ping, Lai Cheuk-Cheuk, Chan Tin-Chung, Wong San, Wong Cho-San, Ng Wui, To Sam-Ku, Fung Ying-Seung, Fung Ging-Man "
"Ninja, the Battalion",Taiwan,https://en.hkcinema.ru/foto/nofoto.gif,1987,"action, martial arts",Godfrey Ho Jeung-Keung ,"Alexander Lo Rei, Eugene Thomas, Yee Yuen, Gam Sap-Yee, Ling Yun, Paul Chang Chung, Phillip Ko Fei, Ma Sha, Tin Ching, Wang Hsieh "
Tower of Death,Hong Kong,https://en.hkcinema.ru/foto/ad7de8bb.jpg,1981,martial arts,Ng See-Yuen ,"Bruce Lee Siu-Lung, Tong Lung, Hwang Jang-Lee, Roy Chiao Hung, Roy Horan, Tiger Yang Cheng-Wu, Lee Hoi-Sang, To Wai-Wo, Hao Li-Jen "
Gallants,Hong Kong,https://en.hkcinema.ru/foto/5e6726e7.jpg,2010,martial arts,"Derek Kwok Chi-Kin, Clement Cheng Si-Kit ","Bruce Leung Siu-Lung, Wong Yau-Nam, Teddy Robin Kwan, Chen Kuan-Tai, JJ Jia Xiao-Chen, Ku Kuan-Chung, Li Hai-Tao, Law Wing-Cheong "
"Boundless Snow, Broken Hearts",China,https://en.hkcinema.ru/foto/58fd8c870e60b.jpg,1993,"action, historical, martial arts",Zhao Wei-Heng ,"Ni Xue-Hua, Lui Xiao-He, Zhang Ye-Chuan, Kwok Yung, Jing Zhen-Qi, Pu Ke, Li Ying, Xu Ming "
The Silent Guest from Peking,Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1975,martial arts,Law Kei ,"Linda Hoh Lin-Dai, Tan Tao-Kung, Han Ying-Chieh, Helen Poon Bing-Seung, Mang Hoi, Lee Tin-Ying, Liu Wei-Chiao, Nick Cheung Lik, Chin Chun "
The Silent Swordsman,Hong Kong,https://en.hkcinema.ru/foto/2569105a.jpg,1967,martial arts,Kao Li ,"Chang Yu, Yue Wai, Shu Pei-Pei, Lisa Chiao Chiao, Huang Chung-Hsin, Ku Wen-Chung, Ching Miao, Tien Feng, Yang Chi-Ching, Fang Mian "
The Reckless Cricket,Hong Kong,https://en.hkcinema.ru/foto/ea580e35.jpg,1979,martial arts,Kuei Chih-Hung ,"Hon Kwok-Choi, Yau Chui-Ling, Bruce Tong Yim-Chaan, Addy Sung Gam-Loi, Chiang Tao, Lee Hoi-Sang, Lo Lieh, Ng Hong-Sang, Wong Shu-Tong "
Relentless Broken Blade,Taiwan,https://en.hkcinema.ru/foto/9dc85507.jpg,1979,martial arts,Chang Peng-I ,"Shih Szu, Chi Kuan-Chun, Tin Hok, Lily Li Li-Li, Chung Wah, Ko Keung, Addy Sung Gam-Loi, Phillip Ko Fei, Shut Chung-Tin, Lung Suen "
"Mad Tower, The (Part 1)",Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1963,martial arts,Chiang Wai-Kwong ,"Pak Yin, Cheung Ying, Wong Man-Lei, Yeung Sai, Lee Yuet-Ching, Ko Lo-Chuen, Leung Suk-Hing, Gam Lui, Sze-Ma Wah-Lung, Lok Gung "
"Mad Tower, The (Part 2)",Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1963,martial arts,Chiang Wai-Kwong ,"Pak Yin, Cheung Ying, Wong Man-Lei, Yeung Sai, Do Ping, Ko Lo-Chuen, Leung Suk-Hing, Gam Lui, Sze-Ma Wah-Lung, Ling Mung "
"Crazy Horse, Intelligent Monkey",Hong Kong,https://en.hkcinema.ru/foto/35a38136.jpg,1982,martial arts,"Tony Liu Chun-Ku, Chan Hei ","Hon Kwok-Choi, Chi Kuan-Chun, Kwan Hoi-San, Chu Tit-Wo, Wong Chi-Ming, Kong Chuen, Candy Wen Xue-Er, Stephan Yip Tin-Hang, Fung Ming "
Crazy Mission,Taiwan,https://en.hkcinema.ru/foto/e11c4ee1.jpg,1997,"action, martial arts",Yeh Ching-Hui ,"Lee Law, Kara Hui Ying-Hung, Lam Wai, Ku Feng, Dick Wei, Tai Bo, Chiang Tao, Billy Chow Bei-Lei, Hung Fung, Ma Cheung, Wong Yiu "
Mad Mad Kung Fu,Taiwan,https://en.hkcinema.ru/foto/7d6c786b.jpg,1979,martial arts,"Ho Meng-Hua, Yu Cheng-Chun ","Cliff Lok, Peter Chan Lung, Lee Hoi-Sang, Simon Yuen Siu-Tin, Chiang Tao, Cheung Hei, Cheng Kang-Yeh, Wang Han-Chen, Lau Yat-Fan "
Crazy Acrobat,Taiwan,https://en.hkcinema.ru/foto/561fc8f635161.jpg,1974,martial arts,Yang Ching-Chen ,"Chia Ling, Barry Chan, Cheng Fu-Hung, Shih Ting-Ken, Lee Keung, Hsiao Yao, Wu La-Yun, Henry Luk Yat-Lung, Yee Hung, Chang Chi-Ping "
"Mad, Mad Sword",Hong Kong,https://en.hkcinema.ru/foto/8d01e4c5.jpg,1969,"martial arts, comedy",Wong Tin-Lam ,"Tin Ching, Wendy Chun Wan, Chu Mu, Ma Kim-Tong, Fung Ngai, Charlie Chin Chiang-Lin, Cheung Hei, Yam Ho, Wong Sam, Woo Wai "
Crazy Swordsman,Taiwan,https://en.hkcinema.ru/foto/7e8e00a5.jpg,1968,martial arts,Law Chi ,"Ting Ying, Wu Chia-Chi, Tsui Fu-Sheng, Got Siu-Bo, Wu Heng, Chow Siu-Hing, Wu Hsiao-Hui, Lan Pai, Wong Tak-Ling, Tung Te-Ling, Feng Mei-Li "
Crazy Champion,Taiwan,https://en.hkcinema.ru/foto/89b3aef2.jpg,1973,martial arts,,Ting Chung 
The Anonymous Heroes,Hong Kong,https://en.hkcinema.ru/foto/4d97126a.jpg,1971,martial arts,Chang Cheh ,"David Chiang Da-Wei, Ti Lung, Ching Li, Ku Feng, Chan Sing, Ching Miao, Yuen Shun-Yi, Bai Yu, Bruce Tong Yim-Chaan, Wang Kuang-Yu "
White Vengeance,China,https://en.hkcinema.ru/foto/d22cb215.jpg,2011,"martial arts, historical, drama",Daniel Lee Yan-Gong ,"Leon Lai Ming, William Feng Shao-Feng, Zhang Han-Yu, Anthony Wong Chau-Sang, Jordan Chan Siu-Chun, Liu Yi-Fei, Andy On Chi-Kit, Wu Ma "
White Hair Devil Lady,Hong Kong,https://en.hkcinema.ru/foto/592bb4e332035.jpg,1980,"martial arts, musical",Cheung Sing-Yim ,"Henry Fong Ping, Nina Pau Hei-Ching, Leanne Lau Suet-Wah, Kong Hon, Ping Fan, Cheung Ping, Leung Hang, Wang Yang, Hau Pooi-Man, Chan Tsung "
The White Dragon,Hong Kong,https://en.hkcinema.ru/foto/4101e8da.jpg,2004,"martial arts, comedy",Wilson Yip Wai-Shun ,"Cecilia Cheung Pak-Chi, Francis Ng Chun-Yu, Andy On Chi-Kit, Kitty Yuen Siu-Yee, Patrick Tang Kin-Wang, Suet Nei, Hui Siu-Hung "
The White Dragon,Hong Kong,https://en.hkcinema.ru/foto/ef42021b.jpg,1968,martial arts,Wong Fung ,"Petrina Fung Bo-Bo, Lee Hung, Cheung Ying-Tsoi, Paul Chu Kong, Cheng Kwun-Min, Sek Kin, Siu Gam, Simon Yuen Siu-Tin, Sai Gwa-Pau "
The White Dragon,China,https://en.hkcinema.ru/foto/c9e3f121.jpg,1948,martial arts,Zhu Wen-Shun ,"Zhang Jing, Li Xian-Ting, Pu Ke, Fang Hua "
The White Dragon Sword,China,https://en.hkcinema.ru/foto/5996f6a034b2c.jpg,1986,martial arts,Tian Jin-Fu ,"Liu Xiao-Hong, Ki Kei-Lun, Ma Zheng, Wang Shu-Qing, Li Shuang, Meng Yang "
White Twister,Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1940,martial arts,"Law Chi-Hung, Chan Tin-Chung ","Wong Man-Lei, Ching Siu-Kai, Lam Mui-Mui, Cheung Wood-Yau, Wong Sau-Nin, Wu Tip-Lai, Chan Tin-Chung, Yung Yuk-Yi, Yue Leung "
Bat Without Wings,Hong Kong,https://en.hkcinema.ru/foto/b9a993c2.jpg,1980,martial arts,Chor Yuen ,"Derek Yee Tung-Sing, Ching Li, Wong Yung, Ku Kuan-Chung, Ku Feng, Tang Ching, Au-Yeung Pui-San, Alan Chan Kwok-Kuen, Wong Chi-Ming "
The Blade Spares None,Hong Kong,https://en.hkcinema.ru/foto/3d2646c3.jpg,1971,martial arts,Teddy Yip Wing-Cho ,"James Tin Chuen, Nora Miao Ke-Hsiu, Patrick Tse Yin, Paul Chang Chung, David Lo Tai-Wai, Lee Wan-Chung, Fung Ngai, Chiang Nan "
The Impartial Judge,China,https://en.hkcinema.ru/foto/6560af48.jpg,2013,martial arts,Liu Xin-Yi ,"Lu Xing-Yu, Angela Chen Jia-Jia, Xia Tian "
Bastard Swordsman,Hong Kong,https://en.hkcinema.ru/foto/a4e94752.jpg,1983,martial arts,Tony Liu Chun-Ku ,"Norman Chu Siu-Keung, Lau Wing, Wong Yung, Leanne Lau Suet-Wah, Alex Man Chi-Leung, Yeung Ching-Ching, Chan Sze-Kai, Ku Kuan-Chung "
Immortal Warriors,Taiwan,https://en.hkcinema.ru/foto/4c4ba76c.jpg,1979,"martial arts, drama, historical","Cheng Kang, Shen Chiang, Lo Wei, Chang Tseng-Chai, Wong Sing-Loy ","Polly Shang-Kuan Ling-Feng, Gua Ah-Lei, Lo Lieh, Kam Kong, Miao Tian, Chi Kuan-Chun, Mang Fei, James Tin Chuen, Hsieh Han, O Chun-Hung "
Immortal & Demons,China,https://en.hkcinema.ru/foto/5ba4ce2a16292.jpg,2018,"comedy, fantasy, martial arts, historical",Dong Wei ,"Sookie Pan Shi-Qi, Steven Cheung Chi-Hang, Angus Tong An-Ge, Hu Yue, Daniella Wang Li Danni, Fan Hao, Xiao Yi-Teng, Lee Kin-Yan "
The Fearless Hyena,Hong Kong,https://en.hkcinema.ru/foto/2f59825e.jpg,1979,martial arts,Jackie Chan ,"Jackie Chan, Yen Shi-Kwan, Lee Kwan, James Tin Chuen, Ma Cheung, Chan Wai-Lau, Cheng Fu-Hung, Wong Kin-Mi, Wong Chi-Sang, Wong Yiu "
The Fearless Duo,Hong Kong,https://en.hkcinema.ru/foto/397198de.jpg,1978,martial arts,"Fong Chiung, Joseph Kuo Nan-Hong ","Lau Ga-Yung, Pak Sha-Lik, Hwang Jang-Lee, Yuen Qiu, Yuen Chu, Wang Han-Chen, To Wai-Wo, Chan Lau, Wong Yau-Ho, Tino Wong Cheung, Ho Kei-Cheong "
Two on the Road,Hong Kong,https://en.hkcinema.ru/foto/da3dfbe0.jpg,1980,"martial arts, comedy",Lee Chiu ,"Leung Kar-Yan, Phillip Ko Fei, Johnny Wang Lung-Wei, Leung Ka-Lai, Siu Gam, Chan Lau, Chiang Tao, Addy Sung Gam-Loi, Wong Hak "
Fearless Kung Fu Elements,Taiwan,https://en.hkcinema.ru/foto/5620203d992be.jpg,1978,martial arts,Chen Chiu ,"Chan Sing, Barry Chan, Lam Yi-Wa, Yee Yuen, Charlie Chin Chiang-Lin, Lung Siu-Fei, Sze-Ma Yu-Chiao, Yuen Sam, Tin Ming "
Fearless,China,https://en.hkcinema.ru/foto/b1beffca.jpg,2006,martial arts,Ronny Yu Yan-Tai ,"Jet Li Lian-Jie, Betty Sun Li, Dong Yong, Nakamura Shidou, Nathan Jones, Ngai Sing, Nina Pau Hei-Ching, Byron Pang Kun-Kei, Brandon Rhea "
Fearless,China,https://en.hkcinema.ru/foto/5c511aeb00745.jpg,2019,"historical, action, martial arts","Bai Shan, Liu Fang ","Vincent Zhao Wen-Zhuo, Nikita Mao, Ashton Chen, Wu Chao, Zhang Yong-Gang, Ying Zhi-Gang, Eddy Ko Hung, Austin Sui Ming-Yang, Hasi Gaowa "
The Fearless Golden Dragon,Taiwan,https://en.hkcinema.ru/foto/nofoto.gif,1974,martial arts,"Yang Wen-Kan, Ku Hsi ","Cheung Chaan-Ting, Nancy Yen Nan-See, So Fung-Gat, Lee Git-Yue, Wei Su, Chu Siu-Wa, Yu Chung-Chiu, Ma Cheung, Cho Boot-Lam, Blacky Ko Sau-Leung "
Priceless Sword (Part 1),Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1965,martial arts,Ling Yun ,"Walter Tso Tat-Wah, Yu So-Chau, Fei Ying, Tam Sin-Hung, Lam Kau, Chan Wan-Wa, Lau Hak-Suen, Lee Pang-Fei, Lok Gung, Cheung Sang "
Priceless Sword (Part 2),Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1965,martial arts,Ling Yun ,"Walter Tso Tat-Wah, Yu So-Chau, Tam Sin-Hung, Lam Kau, Chan Wan-Wa, Lau Hak-Suen, Lee Pang-Fei, Lok Gung, Cheung Sang, Siu Chung-Kwan "
Mantis Combat,Hong Kong,https://en.hkcinema.ru/foto/561bfc6083288.jpg,1978,martial arts,Heung Ling ,"Chan Sing, Barry Chan, Chang Yi-Tao, Tin Ching, Wang Hsieh, Chan Fei-Lung, Chiang Tao, Chen Yan-Yan, Wong Kwok-Leung "
Fight for Glory,Taiwan,https://en.hkcinema.ru/foto/10df4181.jpg,1980,martial arts,Hui Sing-Yue ,"Norman Chu Siu-Keung, Ching Li, Liu Shan-Chian, Shao Pei-Ling, David Chiang Da-Wei, Ma Chin-Ku, Yu Chung-Chiu, Ching Pang, Yau Siu-Hung "
The Fight for Shaolin Tamo Mystique,Taiwan,https://en.hkcinema.ru/foto/39cd3fcf.jpg,1977,martial arts,Hou Cheng ,"Polly Shang-Kuan Ling-Feng, Chia Ling, Don Wong Tao, Yuen Si-Wo, Wen Chiang-Long, Kam Kong, Sze-Ma Lung, Lung Suen, Elsa Yeung Wai-San "
Fight for the Agreement,Taiwan,https://en.hkcinema.ru/foto/34fd55dc.jpg,1968,martial arts,Law Chi ,"Paul Chang Chung, Ting Ying, Wong Yung, Lu Bi-Yun, Cheung Sai-Sai, Kang Ming, Li Kuan-Chang, Wu Pin-Nan, Su Chin-Lung, Wu Min-Hsiung "
Battle of the Mirror Guardian,Taiwan,https://en.hkcinema.ru/foto/nofoto.gif,1971,martial arts,Joseph Kuo Nan-Hong ,"Chiang Nan, Li Hsuan, Chiang Ching-Hsia, Chen Kuo-Chun "
The Battle Between the Heroines from Kunlun and the Swallow Thief,Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1950,"martial arts, musical",Ku Wen-Chung ,"Lam Ka-Sing, Lam Kau, Lau Kwai-Hong, Law Yim-Hing, Sek Kin, Ko Ying-Wan, Lam Kar-Yee, Siu Kwan-Lun, Ng Tung, Chan Lit-Ban, Chu Chiu, Yeung Yip-Wang "
The Battle Between the Handsome Master and the Wild Girl,Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1950,martial arts,Wan Hoi-Ching ,"Lo Ban-Chiu, Chun Siu-Lei, Law Yim-Hing, Fung Ying-Seung, Wong Cho-San, Kwok Yan, Lau Kwai-Hong, Ho Siu-Hung, Ho Si-Kit "
Fight Among the Supers,Taiwan,https://en.hkcinema.ru/foto/983602ef.jpg,1984,"martial arts, comedy",Wong Gwok-Chue ,"Lu Feng, Chiang Sheng, Peter Chang Chi-Long, Got Siu-Bo, Ling Sin, Ko Chun-Pang, Wong Gwok-Chue, Lee Lung-Yam, Cheung Hung-Gei "
The Battle Between Ne Zha and the Scarlet Boy,Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1950,"martial arts, fantasy","Leong Sum, Yip Yat-Sing, Kwong Kwong ","Lam Mui-Mui, Yu Kai, Yip Wan-Ha, Lee Pang-Fei, Sze Pak-Yeuk, Cheung Sang, Wong Kun-Lun, Luk Chung-Hap, Leung Yeuk-Ngoi, Tin Kei-Fong "
Combat Between Seven Swords and Five Dragons,Hong Kong,https://en.hkcinema.ru/foto/348fd93d.jpg,1961,martial arts,Wu Pang ,"Walter Tso Tat-Wah, Yu So-Chau, Connie Chan Po-Chu, Josephine Siao Fong-Fong, Sek Kin, Hu Hung-Yen, Sai Gwa-Pau, Simon Yuen Siu-Tin "
The Battle Between Fang Shiyu and the Flying Hero of Guangdong,Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1951,martial arts,Ku Wen-Chung ,"Lee Chung-Lam, Sek Yin-Tsi, Law Yim-Hing, Yu Kai, Yam Yin, Chan Lo-Wah, Yee Chau-Sui, Lau Kwai-Hong, Lau Cham, Hoh San, Chao Fei-Fei "
The Monk's Fight,Hong Kong,https://en.hkcinema.ru/foto/8c7d71f9.jpg,1979,martial arts,Yu Chik-Lim ,"Lee Wing, Casanova Wong, Pearl Cheung Ling, Chu Tit-Wo, Ho Pak-Kwong, Tsai Hung, Tien Feng, Chan Wai-Lau, Ling Yun, Ma Shih-Hen "
Clash of the Ninjas,Hong Kong,https://en.hkcinema.ru/foto/890f7f60.jpg,1988,"action, martial arts",,"Paulo Tocha, Louis Roth, James M. Crockett, Chiang Tao, Eric Neff "
Fighting Life,Taiwan,https://en.hkcinema.ru/foto/562bc0629e09f.jpg,1981,martial arts,"Chester Wong Chung-Gwong, Sui Ngok-Fung ","Sam Chung-Chuen, Thomas Hong Chiu-Ming, Tin Ching, Sherman Chow Shiu-Dung, Shen Shi-Hua, Hon Siu, Hsieh Han, Ma Cheung, Ho Wei-Hsiung "
Huang Feihong's Battle in Furong Valley,Hong Kong,https://en.hkcinema.ru/foto/715631e4.jpg,1952,martial arts,Wu Pang ,"Walter Tso Tat-Wah, Lam Kau, Law Yim-Hing, Sek Kin, Wong Sau-Nin, Go Chiu, Ko Lo-Chuen, Lee Keng-Ching, Liu Chi-Wai, Ting Ling "
Battle - The Insidious,China,https://en.hkcinema.ru/foto/nofoto.gif,2013,"action, martial arts",Gao Li-Qiang ,"Xuan Lu, Liu Dong, Sun Dong-Xiao, Li Shao-Ting, Wei Jian-Yun, Ren Xi-Hong, Yu Jia-Ming "
The Chivalrous Pair,Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1951,martial arts,Wong Tin-Lam ,"Sek Yin-Tsi, Yam Yin, Lam Kar-Yee, Yam Tai-Goon "
The Upright Bandits,Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1941,martial arts,Man Han-Fei ,"Tsang Sam-To, Wong Chung-Wong, Lui Yuk-Long, Mak Bing-Wing, Cho Chau-Wan, Gam Wan-Ha, Lee Keng-Ching, Chow Siu-Ying, Chow Chi-Sing "
Noble Aspirations,China,https://en.hkcinema.ru/foto/1074ebf2ebb95e4ebdb883b7cdf27d81dbn.jpg,2016,"fantasy, historical, martial arts","Zhu Shao-Jie, Zhou Yuan-Zhou, Roger Lau Kwok-Fai, Grammy Chu Yui-Bun ","Li Yi-Feng, Zhao Li-Ying, Yang Zi, Roy Wang Yuan, Karry Wang Jun-Kai, Jackson Yi, Xiong Nai-Jin, Ho Chung-Wa, Tina Tang Yi-Xin "
